Title|Author|Genre|Series|Year|Synopsis|Path|ProcessingDate|FileCount|TotalSizeMB|CoverArtFound
LOS HOMBRES SON DE MARTE, LAS MUJERES SON DE VENUS|JOHN GRAY|Autoayuda|Unknown|1992|Este libro examina las diferencias psicológicas fundamentales entre hombres y mujeres, explicando cómo sus diferentes formas de pensar, sentir y comportarse pueden generar malentendidos en las relaciones. Utiliza la metáfora de que los hombres son de Marte y las mujeres de Venus para ofrecer consejos prácticos y estrategias para mejorar la comunicación y fomentar una mejor comprensión mutua en parejas.|JOHN GRAY\LOS HOMBRES SON DE MARTE, LAS MUJERES SON DE VENUS|2025-10-06 16:24:22|1|526.4|True
RECETAS ANTI INFLAMATORIAS DE COCCIÓN LENTA|JOHN CARTER|Cookbook|Unknown|Unknown|A collection of anti-inflammatory recipes designed for slow cooking.|JOHN CARTER\RECETAS ANTI INFLAMATORIAS DE COCCIÓN LENTA|2025-10-06 16:24:33|1|87.63|False
Una Prisión Llamada Depresión: Un Lugar del Que Es Posible Salir|Unknown|Self-help|Unknown|Unknown|This book metaphorically portrays depression as a prison, offering a hopeful and empowering message that it is possible to find a way out and overcome this challenging mental state.|Unknown\Una Prisión Llamada Depresión Un Lugar del Que Es Posible Salir|2025-10-06 16:24:43|1|61.11|False
Veinte mil leguas de viaje submarino|Julio Verne|Science Fiction, Adventure, Classic|Unknown|1870|A renowned science fiction adventure novel chronicling the adventures of Professor Aronnax, his servant Conseil, and the harpooner Ned Land, who are taken captive by the enigmatic Captain Nemo aboard his advanced submarine, the Nautilus, exploring the wonders and dangers of the underwater world.|Julio Verne\Veinte mil leguas de viaje submarino|2025-10-06 16:25:18|1|446.82|False
VIAJE AL CENTRO DE LA TIERRA|JULIO VERNE|Science Fiction, Adventure, Classic|Unknown|1864|Professor Otto Lidenbrock discovers an ancient manuscript detailing a route to the Earth's core. With his nephew Axel and a stoic guide, Hans, he embarks on a perilous and incredible journey through a subterranean world filled with prehistoric creatures and natural wonders.|JULIO VERNE\VIAJE AL CENTRO DE LA TIERRA|2025-10-06 16:25:34|1|256.95|False
El Sacrificio|Pablo Andrés Wunderlich|Fantasy|La Guerra de los Dioses|Unknown|Unknown|Pablo Andrés Wunderlich\El Sacrificio|2025-10-06 16:27:10|1|271.02|False
La Maldición|Pablo Andrés Wunderlich|Fantasy|La Guerra de los Dioses|Unknown|Unknown|Pablo Andrés Wunderlich\La Maldición|2025-10-06 16:27:19|1|131.63|False
LA PROFECÍA|PABLO ANDRÉS WUNDERLICH|Fantasy|LA GUERRA DE LOS DIOSES|Unknown|Unknown|PABLO ANDRÉS WUNDERLICH\LA PROFECÍA|2025-10-06 16:27:31|1|241.06|False
La Resurrección|Pablo Andrés Wunderlich|Fantasy|La Guerra de los Dioses|Unknown|Unknown|Pablo Andrés Wunderlich\La Resurrección|2025-10-06 16:27:42|1|328.03|False
LA CONVOCATORIA|PABLO ANDRÉS WUNDERLICH|Fantasy|LA GUERRA DE LOS DIOSES|Unknown|Unknown|PABLO ANDRÉS WUNDERLICH\LA CONVOCATORIA|2025-10-06 16:27:55|1|249.75|False
El Armagedón|Pablo Andrés Wunderlich|Fantasy|La Guerra de los Dioses|Unknown|The last days of the world are looming on the horizon. The war between the gods has unleashed without control, and humanity finds itself in the midst of a conflict that surpasses its understanding. As the forces of good and evil clash in an epic battle, an unexpected hero emerges to face destiny. Can a single mortal change the course of Armageddon and save humanity from annihilation?|Pablo Andrés Wunderlich\El Armagedón|2025-10-06 16:28:05|1|808.14|False
24 MINUTOS EN EL OTRO LADO|TESSA ROMERO|Horror/Supernatural|Unknown|Unknown|The story follows a character who, after an accident, finds himself in a liminal space between life and death for 24 minutes, profoundly changed by his experience on 'the other side'.|Tessa Romero\24 Minutos En El Otro Lado|2025-10-06 16:32:36|1|275.01|True
El Arte de Ser Feliz|Arthur Schopenhauer|Philosophy|Unknown|Unknown|A collection of aphorisms and reflections by the renowned philosopher Arthur Schopenhauer, offering practical wisdom and advice on how to achieve a contented life, minimize suffering, and find happiness amidst the challenges of existence, often informed by his broader philosophical outlook.|Arthur Schopenhauer\El Arte De Ser Feliz|2025-10-06 16:32:51|1|40.77|False
El bosque oscuro|Cixin Liu|Science Fiction|The Three-Body Problem|2008|"The second novel in Cixin Liu's ""Remembrance of Earth's Past"" trilogy (commonly known as ""The Three-Body Problem"" series). Set in a future where humanity prepares for an impending alien invasion from the Trisolarans, the story explores the 'Dark Forest' theory of cosmic sociology, a chilling hypothesis about the nature of intelligent life in the universe, and follows the strategies of the designated 'Wallfacers' as they strive to protect Earth from a technologically superior foe."|Cixin Liu\El Bosque Oscuro|2025-10-06 16:33:01|1|637.9|True
El Método Clean|Alejandro Junger|Health & Wellness|Clean|2010|A guide to a detoxification program designed by Dr. Alejandro Junger, offering a plan to eliminate toxins, improve digestion, boost energy, and restore the body's natural healing abilities.|Alejandro Junger\El Método Clean|2025-10-06 16:33:15|1|189.73|False
Cómo mandar a la mierda de forma educada en 10 minutos|Mónica Casanova|Self-help|Unknown|2017|A guide to assertiveness and setting boundaries politely, teaching how to express disagreement or end undesirable situations respectfully to protect one's well-being.|Mónica Casanova\Cómo Mandar A La Mierda De Forma Educada En 10 Minutos|2025-10-06 16:33:46|1|5.75|True
El libro del día del juicio final|Connie Willis|Science Fiction, Historical Fiction|Oxford Time Travel|1992|A history student from 2054 Oxford travels back in time to observe 14th-century England, only to find herself trapped in the year 1348 amidst the Black Death. Meanwhile, a deadly influenza outbreak in her own time jeopardizes her return and the safety of her colleagues.|Connie Willis\El Libro Del Día Del Juicio Final|2025-10-06 16:33:59|1|1250.76|True
CUENTOS ESCOGIDOS DE LOS HERMANOS GRIMM|Hermanos Grimm|Fairy Tales|Unknown|Unknown|A compilation of classic European fairy tales and folk stories, carefully selected from the extensive collection originally compiled by the Brothers Grimm. These stories are known for their enduring narratives, moral lessons, and significant contribution to children's literature and global folklore.|Hermanos Grimm\Cuentos Escogidos De Los Hermanos Grimm|2025-10-06 16:34:12|1|219.36|False
Cónclave|Robert Harris|Thriller, Political Fiction|Unknown|2016|Following the sudden death of the reigning pontiff, a senior cardinal is thrust into the role of presiding over the papal conclave. As the world watches, he must navigate the intense political maneuvering, personal ambitions, and hidden secrets of the cardinals from across the globe, all vying for the ultimate spiritual leadership, and guide them to elect a new Pope amidst unprecedented challenges and unexpected candidates.|Robert Harris\Cónclave|2025-10-06 16:34:23|1|280.14|True
De Mí Para Mí La Tormenta Pasará|Unknown|Self-Help|Unknown|Unknown|This book likely explores themes of introspection, personal resilience, and overcoming life's challenges. It probably offers guidance or reflection on finding inner strength and hope during difficult periods, conveying the message that adversities are temporary.|Unknown\De Mí Para Mí La Tormenta Pasará|2025-10-06 16:34:33|1|145.98|False
Dieta Antiinflamatoria|Jennifer Louissa|Health & Fitness|Unknown|Unknown|A guide exploring the principles and benefits of an anti-inflammatory diet.|Jennifer Louissa\Dieta Antiinflamatoria|2025-10-06 16:34:43|1|48.55|False
Dieta Antiinflamatoria|Unknown|Health|Unknown|Unknown|This book explores the principles of an anti-inflammatory diet, detailing foods that can help reduce inflammation in the body and improve overall health. It likely covers the benefits of such a diet, provides guidelines on food choices, and may include recipes or meal plans to help readers adopt this eating pattern.|Unknown\Dieta Antiinflamatoria|2025-10-06 16:34:52|1|32.02|False
EL CASO EXTRAÑO DEL DOCTOR JEKYLL|ROBERT LOUIS STEVENSON|Gothic Fiction|Unknown|1886|A London lawyer, Gabriel Utterson, investigates the strange occurrences between his respectable friend Dr. Henry Jekyll and the malevolent Edward Hyde, slowly uncovering a horrifying secret about the duality of human nature.|Robert Louis Stevenson\El Caso Extraño Del Doctor Jekyll|2025-10-06 16:35:09|1|71.65|False
El Cerebro Motivado|Marina R. Pinto|Self-Help, Personal Development, Neuroscience|Unknown|2023|A guide on understanding how the brain works to create lasting habits, fostering motivation and personal change to achieve goals, based on principles of neuroscience.|Marina R. Pinto\El Cerebro Motivado|2025-10-06 16:35:20|1|69.14|False
El Marciano|Andy Weir|Science Fiction|Unknown|2014|An astronaut is accidentally left behind on Mars and must rely on his scientific ingenuity and wit to survive the harsh conditions and find a way to signal Earth for rescue.|Andy Weir\El Marciano|2025-10-06 16:35:30|1|350.78|True
El poder de sanar|Doctor Carlos Bayter|Salud y Nutrición|Unknown|2023|El Dr. Carlos Bayter presenta una guía práctica que explora cómo la alimentación y el estilo de vida influyen en la salud, ofreciendo estrategias y conocimientos para revertir enfermedades crónicas, incluido el cáncer, a través de cambios dietéticos.|Doctor Carlos Bayter\El Poder De Sanar|2025-10-06 16:35:39|1|252.29|False
El Proyecto 73|Viky Ihler|Dystopian, Science Fiction|Unknown|2021|"In a dystopian future, citizens of ""La Ciudad"" are assigned projects and numbers at birth. The protagonist, Proyecto 73, must complete his assigned project to avoid effectively disappearing from society, all while trying to uncover the city's dark secrets."|Viky Ihler\El Proyecto 73|2025-10-06 16:35:52|1|23.77|False
El Signo de los Cuatro|Arthur Conan Doyle|Detective Fiction, Mystery|Sherlock Holmes|1890|Mary Morstan hires Sherlock Holmes and Dr. Watson to investigate the disappearance of her father and a mysterious annual gift of a pearl. Their investigation uncovers a complex tale involving a hidden treasure from India, a secret pact between four men, and a quest for justice that leads to a thrilling chase on the River Thames.|Arthur Conan Doyle\El Signo De Los Cuatro|2025-10-06 16:36:08|1|137.17|False
El Valor de la Atención: ¿Por Qué Nos la Robaron y Cómo Recuperarla?|Unknown|Self-Help|Unknown|Unknown|This book explores the significance of attention, delves into the reasons why modern society might be diminishing our capacity for it, and offers strategies and insights on how to effectively recover and cultivate this essential skill.|Unknown\El Valor De La Atención ¿Por Qué Nos La Robaron Y Cómo Recuperarla|2025-10-06 16:36:18|1|319.39|False
ESTOICISMO|DOMENEC VIERA|Philosophy|Unknown|Unknown|Stoicism is an ancient Greek philosophy that emphasizes virtue, reason, and self-control. It teaches how to navigate life's challenges by focusing on what is within one's control and accepting what is not, promoting tranquility and resilience.|Domenec Viera\Estoicismo|2025-10-06 16:36:29|1|125.52|False
Hormigas|Bernard Werber|Science Fiction|La Trilogía de las Hormigas|1991|"This novel (often titled ""Las Hormigas"" or ""Les Fourmis"" in its full form) explores the intricate world of ants and their complex society, juxtaposing it with human life. It delves into themes of communication, intelligence, and the potential for interspecies understanding, following both human and ant protagonists."|Bernard Werber\Hormigas|2025-10-06 16:36:39|1|156.24|True
La leyenda del ladrón|Juan Gómez Jurado|Historical Fiction|Unknown|2012|Set in 16th-century Seville, the story follows Sombra, an orphaned boy who becomes a skilled thief and navigates a city of opulence and shadows, encountering a world of inquisitors, merchants, and adventurers during a pivotal era in Spanish history.|Juan Gómez Jurado\La Leyenda Del Ladrón|2025-10-06 16:36:50|1|533.24|True
Juego, Fantasía y Transgresión|Julio Cortázar|Short Stories, Fantasy|Unknown|Unknown|This audiobook presents a reading of thirteen short stories by the acclaimed Argentine author Julio Cortázar. The selection likely explores themes of play, fantasy, and transgression, characteristic of Cortázar's unique narrative style, which often blends reality with the surreal and the psychological.|Julio Cortázar\Juego, Fantasía Y Transgresión|2025-10-06 16:37:00|1|123.67|False
De la Tierra a la Luna|Jules Verne|Science Fiction, Adventure|Unknown|1865|Members of the Baltimore Gun Club, a society of artillerymen and gunsmiths, devise a colossal cannon to send a manned projectile to the Moon. The novel details their ambitious plans, the scientific and engineering challenges they face, and the preparations for this extraordinary journey into space.|Jules Verne\De La Tierra A La Luna|2025-10-06 16:37:14|1|144.94|True
La armadura de la luz|Taylor Caldwell|Historical Fiction|Unknown|1943|Set in ancient Judea during the time of John the Baptist and Jesus, this historical novel explores the spiritual and political climate through the eyes of a young Roman centurion, examining themes of faith and the early days of Christianity.|Taylor Caldwell\La Armadura De La Luz|2025-10-06 16:37:24|1|1401.31|True
La Ilíada|Homero|Epic Poetry|Unknown|Unknown|La Ilíada es una epopeya griega atribuida a Homero. Narra los acontecimientos del último año de la Guerra de Troya, centrándose en la cólera de Aquiles, sus causas, su desarrollo y sus consecuencias para los troyanos y los aqueos. Es una obra fundamental de la literatura occidental que explora temas como el honor, el destino, la guerra y la naturaleza humana.|Homero\La Ilíada|2025-10-06 16:37:37|1|452.85|False
La Isla del Tesoro|Robert Louis Stevenson|Adventure, Classic, Pirate Fiction|Unknown|1883|A young boy named Jim Hawkins discovers a treasure map and embarks on a perilous voyage to a remote island to find the buried riches, encountering mutiny, pirates, and the cunning Long John Silver along the way.|Robert Louis Stevenson\La Isla Del Tesoro|2025-10-06 16:37:45|1|289.59|False
LA METAMORFOSIS|FRANZ KAFKA|Absurdist Fiction|Unknown|1915|Gregor Samsa, a traveling salesman, awakens one morning to find himself inexplicably transformed into a monstrous insect. The novella explores themes of alienation, the absurdity of existence, and the psychological burdens placed upon individuals within familial and societal structures.|Franz Kafka\La Metamorfosis|2025-10-06 16:37:55|1|65.03|False
La vuelta al mundo en ochenta días|Julio Verne|Aventura|Unknown|1873|El caballero inglés Phileas Fogg, un hombre metódico y solitario, apuesta la mitad de su fortuna con sus colegas del Reform Club a que es capaz de dar la vuelta al mundo en ochenta días. Acompañado de su nuevo y peculiar mayordomo, Passepartout, Fogg emprende un emocionante viaje lleno de imprevistos, persecuciones y encuentros culturales, mientras es perseguido por un detective que lo confunde con un ladrón de bancos.|Julio Verne\La Vuelta Al Mundo En Ochenta Días|2025-10-06 16:38:06|1|234.41|False
LIBRO DE COCINA DE DIETA ANTI INFLAMATORIA|JOHN CARTER|Cookbook|Unknown|Unknown|This book provides recipes and dietary guidelines for following an anti-inflammatory diet.|John Carter\Libro De Cocina De Dieta Anti Inflamatoria|2025-10-06 16:38:16|1|92.76|False
Libro Dieta Antiinflamatoria|Charlie Mason|Health|Unknown|2023|A comprehensive guide to understanding and implementing an anti-inflammatory diet, offering insights into its benefits for health improvement, chronic disease prevention, weight management, and overall well-being, often including meal plans and recipes.|Charlie Mason\Libro Dieta Antiinflamatoria|2025-10-06 16:38:25|1|30.64|False
Libro de Cocina de Dieta Paleo, Recetas de Cocina con Freidora de|Unknown|Cocina|Unknown|Unknown|Este libro contiene una colección de recetas diseñadas para la dieta Paleo, con un enfoque particular en la preparación de platos utilizando una freidora de aire.|Unknown\Libro De Cocina De Dieta Paleo, Recetas De Cocina Con Freidora De|2025-10-06 16:38:34|1|119.71|False
El problema de los tres cuerpos|Liu Cixin|Science Fiction|Remembrance of Earth's Past (The Three-Body Problem trilogy)|2008|During China's Cultural Revolution, a secret military project transmits signals into space, inadvertently making contact with an alien civilization facing imminent destruction. Decades later, a nanomaterials researcher and a detective uncover a clandestine organization and a complex virtual reality game, both connected to the profound implications of this cosmic encounter and a looming threat to Earth.|Liu Cixin\El Problema De Los Tres Cuerpos|2025-10-06 16:38:47|1|407.23|True
Sostener el cielo|Liu Cixin|Science Fiction|Unknown|2021|A collection of eleven science fiction short stories by Liu Cixin, exploring vast cosmic themes, technological futures, and humanity's place in the universe, often featuring grand, thought-provoking scenarios.|Liu Cixin\Sostener El Cielo|2025-10-06 16:38:58|1|401.01|True
LOS HOMBRES SON DE MARTE, LAS MUJERES SON DE VENUS|JOHN GRAY|Self-help|Unknown|1992|This influential self-help book uses the metaphor that men are from Mars and women are from Venus to explain common communication and relationship issues between genders, offering advice on how to understand and navigate these differences.|John Gray\Los Hombres Son De Marte, Las Mujeres Son De Venus|2025-10-06 16:39:11|1|526.4|True
Esaú|Philip Kerr|Historical Thriller|Bernie Gunther Series|2017|In 1956, Bernie Gunther, now living on the French Riviera, is drawn back into a dangerous world when he's hired to protect a reclusive client. The client is none other than Adolf Hitler, secretly living in a remote mountain villa, and Gunther must thwart an assassination plot while confronting his own past.|Philip Kerr\Esaú|2025-10-06 16:39:22|1|832.23|True
RECETAS ANTI INFLAMATORIAS DE COCCIÓN LENTA|JOHN CARTER|Cookbook|Unknown|Unknown|A collection of anti-inflammatory recipes designed for slow cooking methods.|John Carter\Recetas Anti Inflamatorias De Cocción Lenta|2025-10-06 16:39:39|1|87.63|False
Revival|Stephen King|Horror|Unknown|2014|A young man's life is forever altered by a charismatic, unconventional minister and their shared fascination with the mysteries of electricity, leading to a horrifying exploration of life, death, and what lies beyond.|Stephen King\Revival|2025-10-06 16:39:48|1|456.73|True
Una Prisión Llamada Depresión: Un Lugar Del Que Es Posible Salir|Dr. Daniel G. Amen|Autoayuda, Psicología, Salud Mental|Unknown|2021|Este libro ofrece estrategias prácticas y conocimientos para superar la depresión, centrándose en la salud cerebral, los cambios en el estilo de vida y enfoques personalizados. El Dr. Amen brinda esperanza y un camino para aquellos que luchan contra la depresión, demostrando que la recuperación es posible y proporcionando las herramientas necesarias para lograrla.|Dr. Daniel G. Amen\Una Prisión Llamada Depresión Un Lugar Del Que Es Posible Salir|2025-10-06 16:40:01|1|61.11|False
Veinte Mil Leguas de Viaje Submarino|Julio Verne|Ciencia Ficción, Aventura, Clásico|Unknown|1870|La novela narra las aventuras del Profesor Pierre Aronnax, su criado Conseil y el arponero Ned Land, quienes son capturados por el enigmático Capitán Nemo y llevados a bordo de su avanzado submarino, el Nautilus. Juntos, exploran las profundidades del océano, descubriendo maravillas marinas y enfrentando los misterios de la identidad y las motivaciones de Nemo, en un viaje extraordinario por los mares del mundo.|Julio Verne\Veinte Mil Leguas De Viaje Submarino|2025-10-06 16:40:15|1|446.82|False
VIAJE AL CENTRO DE LA TIERRA|JULIO VERNE|Ciencia Ficción|Unknown|1864|El profesor Otto Lidenbrock y su sobrino Axel descubren un antiguo manuscrito rúnico que describe un viaje al centro de la Tierra. Inspirados por este hallazgo, los dos se embarcan en una audaz expedición, descendiendo por un volcán inactivo en Islandia, donde se encuentran con un mundo subterráneo lleno de océanos prehistóricos, criaturas extintas y fenómenos naturales asombrosos.|Julio Verne\Viaje Al Centro De La Tierra|2025-10-06 16:40:26|1|256.95|False
Libro de Cocina de Dieta Paleo, Recetas de Cocina con Freidora de|Unknown|Cookbook|Unknown|Unknown|This cookbook features a collection of recipes compatible with the Paleo diet, with a focus on dishes that can be prepared using an air fryer. It aims to provide healthy and convenient meal options.|Unknown\Libro De Cocina De Dieta Paleo, Recetas De Cocina Con Freidora De|2025-10-06 16:45:46|1|119.71|False
El Sacrificio|Pablo Andrés Wunderlich|Fantasy|La Guerra De Los Dioses|Unknown|Unknown|Pablo Andrés Wunderlich\El Sacrificio|2025-10-06 16:52:22|1|271.02|False
La Maldición|Pablo Andrés Wunderlich|Fantasy|La Guerra De Los Dioses|Unknown|A story revolving around an ancient curse that unfolds amidst an epic conflict involving gods and powerful entities.|Pablo Andrés Wunderlich\La Maldición|2025-10-06 16:52:32|1|131.63|False
La Profecía|Pablo Andrés Wunderlich|Fantasy|La Guerra De Los Dioses|Unknown|Unknown|Pablo Andrés Wunderlich\La Profecía|2025-10-06 16:52:44|1|241.06|False
La Resurrección|Pablo Andrés Wunderlich|Unknown|La Guerra De Los Dioses|Unknown|Unknown|Pablo Andrés Wunderlich\La Resurrección|2025-10-06 16:52:53|1|328.03|False
La Convocatoria|Pablo Andrés Wunderlich|Unknown|La Guerra De Los Dioses|Unknown|Unknown|Pablo Andrés Wunderlich\La Convocatoria|2025-10-06 16:53:03|1|249.75|False
El Armagedón|Pablo Andrés Wunderlich|Fantasy|La Guerra De Los Dioses|Unknown|Unknown|Pablo Andrés Wunderlich\El Armagedón|2025-10-06 16:53:14|1|808.14|False
Cien Años Después|Alberto Vázquez Figueroa|Science Fiction|Unknown|2004|A dystopian novel set one hundred years after a global catastrophe forced humanity underground. The story follows a protagonist who ventures to the ravaged surface, uncovering truths about their world and the future of humanity that contradict official narratives.|Alberto Vázquez Figueroa\Cien Años Después|2025-10-06 16:53:24|1|97.42|True
Ébano|Alberto Vázquez-Figueroa|Historical Adventure|Unknown|1987|Based on the true story of Scottish explorer Mungo Park, this novel recounts his perilous journey through West Africa in the late 18th century in search of the source of the Niger River. It details his encounters with diverse cultures, the challenges of the harsh environment, and the realities of the slave trade.|Alberto Vázquez-Figueroa\Ébano|2025-10-06 16:53:35|1|304.02|True
La Vacuna|Alberto Vázquez-Figueroa|Dystopian Thriller|Unknown|2011|A pharmaceutical company's 'miracle' vaccine causes a deadly global pandemic, leading to a desperate search for a real cure amidst corporate conspiracy and societal collapse.|Alberto Vázquez-Figueroa\La Vacuna|2025-10-06 16:53:45|1|189.18|True
Todos Somos Culpables|Alberto Vázquez-Figueroa|Thriller|Unknown|2012|A prestigious lawyer accepts the defense of a wealthy banker accused of massive embezzlement, only to become entangled in a complex web of corruption, dark secrets, and betrayals, where the line between guilt and innocence blurs and everyone seems to have something to hide.|Alberto Vázquez-Figueroa\Todos Somos Culpables|2025-10-06 16:53:55|1|222.28|True
Un Mundo Mejor|Alberto Vázquez-Figueroa|Science Fiction|Unknown|2004|"The novel explores a dystopian future where humanity faces ecological collapse and overpopulation, delving into the drastic measures and ethical dilemmas a group of scientists and leaders undertake to find a ""better world,"" questioning the true cost of survival and the nature of paradise."|Alberto Vázquez-Figueroa\Un Mundo Mejor|2025-10-06 16:54:07|1|211.9|True
El Destructor Del Amazonas|Alberto Vázquez-Figueroa|Adventure|Unknown|1993|A story about a man's fight against deforestation and illegal exploitation in the Amazon rainforest.|Alberto Vázquez-Figueroa\El Destructor Del Amazonas|2025-10-06 16:54:16|1|295.45|True
El Señor De Las Tinieblas|Alberto Vázquez Figueroa|Adventure|Unknown|1990|In the heart of the Amazon, a powerful and enigmatic man known as 'The Lord of Darkness' controls a vast, illicit empire built on gold, diamonds, and drugs. Various individuals are drawn into his dangerous world, uncovering a web of secrets, violence, and unimaginable wealth, facing moral dilemmas and the allure of ultimate power.|Alberto Vázquez Figueroa\El Señor De Las Tinieblas|2025-10-06 16:54:33|1|500.58|True
Tiempo de Conquistadores|Juan Antonio Cebrián|Historical Non-Fiction|Unknown|2007|This book delves into the lives and exploits of the most significant figures from the era of the conquest of the Americas, offering a detailed account of the historical events, challenges, and lasting legacy of the conquistadores.|Juan Antonio Cebrián\Tiempo De Conquistadores|2025-10-06 16:54:48|1|151.35|True
Bora Bora|Alberto Vázquez-Figueroa|Adventure|Unknown|Unknown|Unknown|Alberto Vázquez-Figueroa\Bora Bora|2025-10-06 17:01:29|5|132.2|True
África llora|Alberto Vázquez-Figueroa|Adventure|Unknown|1999|The novel exposes the brutal exploitation of Africa's natural resources, particularly diamonds, by foreign powers and mercenaries. It delves into the corruption, violence, and profound suffering inflicted upon the continent and its inhabitants, often through the eyes of characters caught in this web of greed and conflict.|Alberto Vázquez-Figueroa\África Llora|2025-10-06 17:08:54|2|199.76|True
Alí en el pais de las maravillas|Alberto Vazquez Figueroa|Adventure|Unknown|2011|"The story follows Alí, a young Moroccan boy, who leaves his home and embarks on a perilous journey to Spain (""the land of wonders"") seeking a better life. It is a realistic and often harsh portrayal of the challenges faced by immigrants, exploring themes of immigration, cultural clash, hope, and survival."|Alberto Vazquez Figueroa\Alí En El Pais De Las Maravillas|2025-10-06 17:19:02|18|83.1|True
